lead_organisation_clean,n_projects,total_funding,mean_funding,median_funding,funding_share_%,total_funding_million,cumulative_share_%,rank
ALTEK EUROPE LIMITED,1,245036.0,245036.0,245036.0,0.023825824854303637,0.245036,96.11744135634086,365
EVOLUTOR,1,244607.0,244607.0,244607.0,0.023784111478054856,0.244607,96.14122546781891,366
Sheffield Hallam University,1,244162.0,244162.0,244162.0,0.023740842358169756,0.244162,96.16496631017708,367
UNIPART LOGISTICS LIMITED,1,243907.0,243907.0,243907.0,0.023716047693965937,0.243907,96.18868235787104,368
HOMEODYNAMIC AUTONOMY LIMITED,1,242841.0,242841.0,242841.0,0.02361239627419624,0.242841,96.21229475414525,369
PENSANA PLC,1,240804.0,240804.0,240804.0,0.02341433066249748,0.240804,96.23570908480775,370
Rothamsted Research,1,240639.0,240639.0,240639.0,0.02339828705624795,0.240639,96.259107371864,371
CAULI LTD,2,239855.0,119927.5,119927.5,0.023322055618068358,0.239855,96.28242942748207,372
GENERATOR COMPONENTS UK LIMITED,1,238522.0,238522.0,238522.0,0.023192442726367602,0.238522,96.30562187020844,373
NOVATICA TECHNOLOGIES LTD,2,238428.0,119214.0,119214.0,0.023183302732504234,0.238428,96.32880517294095,374
UNITED KINGDOM NATIONAL NUCLEAR LABORATORY LIMITED,1,238101.0,238101.0,238101.0,0.02315150722193698,0.238101,96.35195668016289,375
EQONIC GROUP LIMITED,1,233671.0,233671.0,233671.0,0.02272076070263139,0.233671,96.37467744086551,376
LGC LIMITED,1,232688.0,232688.0,232688.0,0.02262517970297509,0.232688,96.39730262056848,377
IPG AUTOMOTIVE UK LIMITED,1,230033.0,230033.0,230033.0,0.02236702349332355,0.230033,96.4196696440618,378
SEXTON MATERIALS RESEARCH LIMITED,1,228988.0,228988.0,228988.0,0.022265413987076516,0.228988,96.44193505804887,379
LONDON SCH OF HYGIENE & TROPIC. MEDICINE,1,227518.0,227518.0,227518.0,0.02212248004048978,0.227518,96.46405753808936,380
ENVIRONMENTAL RESOURCES MANAGEMENT LIMITED,1,226077.0,226077.0,226077.0,0.02198236587924388,0.226077,96.4860399039686,381
ICOMAT,1,225869.0,225869.0,225869.0,0.021962141211971743,0.225869,96.50800204518058,382
BARUCH ENTERPRISES LIMITED,1,225593.0,225593.0,225593.0,0.021935304634245253,0.225593,96.52993734981482,383
BIOPHILICA LTD,3,220452.0,73484.0,24869.0,0.021435424757100772,0.220452,96.55137277457192,384
ECHO BRAND DESIGN LIMITED,1,218315.0,218315.0,218315.0,0.021227635747675028,0.218315,96.5726004103196,385
PROJECT BLU LTD,1,218136.0,218136.0,218136.0,0.02121023086574372,0.218136,96.59381064118534,386
Edinburgh Napier University,1,216274.0,216274.0,216274.0,0.021029181200067193,0.216274,96.6148398223854,387
ADDIBLE LTD,1,215272.0,215272.0,215272.0,0.020931752754842766,0.215272,96.63577157514025,388
ZORI TEX LTD,5,215021.0,43004.2,50000.0,0.020907347026548024,0.215021,96.6566789221668,389
MIMICA LAB LTD,2,214402.0,107201.0,107201.0,0.020847159194617965,0.214402,96.67752608136142,390
3D METAL PRINTING LTD,1,213979.0,213979.0,213979.0,0.020806029222232805,0.213979,96.69833211058365,391
HYDROLUMINUM LIMITED,1,212039.0,212039.0,212039.0,0.020617395306329226,0.212039,96.71894950588998,392
ORANGEBOX LIMITED,1,211759.0,211759.0,211759.0,0.02059016979269366,0.211759,96.73953967568268,393
PPP GROUP,1,211057.0,211057.0,211057.0,0.020521911540650202,0.211057,96.76006158722333,394
MORMAIR LTD,1,209995.0,209995.0,209995.0,0.02041864905678958,0.209995,96.78048023628013,395
WORLD BIOGAS ASSOCIATION,1,209043.0,209043.0,209043.0,0.02032608231042865,0.209043,96.80080631859056,396
CAMBOND LIMITED,2,208967.0,104483.5,104483.5,0.02031869252815614,0.208967,96.82112501111871,397
HOLIFERM LIMITED,1,208809.0,208809.0,208809.0,0.020303329559747497,0.208809,96.84142834067846,398
BIOPOWER TECHNOLOGIES LIMITED,1,206659.0,206659.0,206659.0,0.020094276508617243,0.206659,96.86152261718708,399
THOMAS SWAN & CO.LIMITED,1,205127.0,205127.0,205127.0,0.01994531405543978,0.205127,96.88146793124251,400
PHYONA LTD,3,203731.0,67910.33333333333,74590.0,0.019809575423171022,0.203731,96.90127750666568,401
COMPACT SYNGAS SOLUTIONS LIMITED,1,202324.0,202324.0,202324.0,0.019672767217152293,0.202324,96.92095027388284,402
Nottingham Trent University,1,202311.0,202311.0,202311.0,0.01967150317544778,0.202311,96.94062177705828,403
LITTER AWARE LIMITED,1,202073.0,202073.0,202073.0,0.01964836148885755,0.202073,96.96027013854714,404
DATALASE HOLDINGS LIMITED,1,201534.0,201534.0,201534.0,0.019595952375109082,0.201534,96.97986609092226,405
MATERIAL CULTURES LTD,1,199152.0,199152.0,199152.0,0.019364341041252214,0.199152,96.99923043196351,406
QUEEN MARGARET UNIVERSITY EDINBURGH,1,198225.0,198225.0,198225.0,0.019274205144323032,0.198225,97.01850463710784,407
IMPERIAL CHEMICAL INDUSTRIES LIMITED,2,197768.0,98884.0,98884.0,0.019229769216710692,0.197768,97.03773440632455,408
Scottish Association For Marine Science,1,197761.0,197761.0,197761.0,0.019229088578869805,0.197761,97.05696349490341,409
BLUE CASTLE BUSINESS SERVICES LTD,1,197467.0,197467.0,197467.0,0.01920050178955246,0.197467,97.07616399669297,410
KENOTEQ LTD,1,197449.0,197449.0,197449.0,0.0191987515779616,0.197449,97.09536274827093,411
CITY OF EDINBURGH COUNCIL,1,195332.0,195332.0,195332.0,0.018992907248081253,0.195332,97.114355655519,412
CAMSCIENCE LIMITED,4,194618.0,48654.5,51725.0,0.018923482188310557,0.194618,97.13327913770732,413
HALLIDAYS HYDROPOWER LIMITED,1,194285.0,194285.0,194285.0,0.018891103273879682,0.194285,97.15217024098119,414
CASCADE WATER PRODUCTS LIMITED,1,193481.0,193481.0,193481.0,0.018812927156154693,0.193481,97.17098316813734,415
ROOKWOOD OPERATIONS LTD,1,190020.0,190020.0,190020.0,0.01847640036082362,0.19002,97.18945956849817,416
UBERBINDER LIMITED,1,189528.0,189528.0,189528.0,0.01842856124400684,0.189528,97.20788812974217,417
OTASKI ENERGY SOLUTIONS LTD,1,189329.0,189329.0,189329.0,0.01840921168253013,0.189329,97.2262973414247,418
ELENTEC LIMITED,1,189016.0,189016.0,189016.0,0.018378777447644656,0.189016,97.24467611887235,419
INHERITING EARTH LIMITED,2,187962.0,93981.0,93981.0,0.018276292835602195,0.187962,97.26295241170796,420
IN-CYCLE LTD,2,186508.0,93254.0,93254.0,0.018134914632651784,0.186508,97.28108732634061,421
CARBON8 SYSTEMS LIMITED,1,185715.0,185715.0,185715.0,0.018057808088676765,0.185715,97.29914513442928,422
G'S GROWERS LIMITED,1,185557.0,185557.0,185557.0,0.018042445120268123,0.185557,97.31718757954955,423
LOOP INFINITY LTD,1,184412.0,184412.0,184412.0,0.017931112216294103,0.184412,97.33511869176584,424
100% RECYCLED PANEL COMPANY LIMITED,1,183218.0,183218.0,183218.0,0.01781501484743386,0.183218,97.35293370661327,425
LET'S GO ZERO LTD,1,181755.0,181755.0,181755.0,0.01767276153868802,0.181755,97.37060646815196,426
MATERIOM LIMITED,2,180467.0,90233.5,90233.5,0.017547524175964408,0.180467,97.38815399232793,427
PETIT PLI LIMITED,2,179771.0,89885.5,89885.5,0.017479849327784566,0.179771,97.40563384165571,428
ZEAL LIFESTYLE LTD,3,178526.0,59508.666666666664,50000.0,0.01735879302608356,0.178526,97.42299263468179,429
JJENERGY LIMITED,1,178017.0,178017.0,178017.0,0.01730930093165319,0.178017,97.44030193561345,430
GENETIC MICRODEVICES LIMITED,1,174998.0,174998.0,174998.0,0.017015751554275402,0.174998,97.45731768716772,431
SENSORY DESIGN & TECHNOLOGY LTD,1,174942.0,174942.0,174942.0,0.017010306451548288,0.174942,97.47432799361927,432
BLUE VINE CONSULTING LIMITED,1,172420.0,172420.0,172420.0,0.01676508236087364,0.17242,97.49109307598015,433
ICONIQ INNOVATION LTD,1,171887.0,171887.0,171887.0,0.01671325665098879,0.171887,97.50780633263113,434
STRUCLOCK LIMITED,3,170387.0,56795.666666666664,46828.0,0.016567405685083962,0.170387,97.52437373831621,435
CARDIFF METROPOLITAN UNIVERSITY,1,168170.0,168170.0,168170.0,0.016351837957476627,0.16817,97.54072557627369,436
SPORTEX GROUP LTD,1,168119.0,168119.0,168119.0,0.01634687902463586,0.168119,97.55707245529833,437
RECYCL8 LIMITED,1,166602.0,166602.0,166602.0,0.016199375081117448,0.166602,97.57327183037944,438
YELLOW SUB GEO LTD,1,165724.0,165724.0,165724.0,0.016114003649074487,0.165724,97.58938583402852,439
ABOVE SURVEYING LTD,1,164907.0,164907.0,164907.0,0.01603456348964499,0.164907,97.60542039751816,440
THELITTLELOOP,1,162257.0,162257.0,162257.0,0.015776893449879793,0.162257,97.62119729096804,441
MORPHY RICHARDS LIMITED,1,158776.0,158776.0,158776.0,0.015438421975003322,0.158776,97.63663571294305,442
IN2TEC LIMITED,1,155537.0,155537.0,155537.0,0.015123481122626164,0.155537,97.65175919406568,443
LIGHTRICITY LIMITED,2,154965.0,77482.5,77482.5,0.01506786328762779,0.154965,97.6668270573533,444
SUNDEALA LIMITED,1,153051.0,153051.0,153051.0,0.014881757455133227,0.153051,97.68170881480843,445
CODESMITH TECHNOLOGY LTD,1,152980.0,152980.0,152980.0,0.014874853842747067,0.15298,97.69658366865117,446
FLOREON-TRANSFORMING PACKAGING LTD,1,150510.0,150510.0,150510.0,0.014634685918890451,0.15051,97.71121835457006,447
ECONIC TECHNOLOGIES LTD,1,150111.0,150111.0,150111.0,0.014595889561959764,0.150111,97.72581424413202,448
LONDON BOROUGH OF NEWHAM,1,149999.0,149999.0,149999.0,0.014584999356505538,0.149999,97.74039924348853,449
CUPCLUB LIMITED,1,149815.0,149815.0,149815.0,0.01456710830468788,0.149815,97.75496635179321,450
WESTMORLAND AND FURNESS COUNCIL,1,149299.0,149299.0,149299.0,0.01451693557241662,0.149299,97.76948328736563,451
CENTRAL PHARMA CONTRACT PACKING LIMITED,1,148543.0,148543.0,148543.0,0.014443426685600586,0.148543,97.78392671405123,452
UNIVERSITY OF SOUTH WALES,1,148214.0,148214.0,148214.0,0.014411436707078791,0.148214,97.79833815075831,453
OPRL LIMITED,1,147708.0,147708.0,147708.0,0.014362236314580232,0.147708,97.8127003870729,454
SCOTTISH ASSOCIATION FOR MARINE SCIENCE,1,146938.0,146938.0,146938.0,0.014287366152082419,0.146938,97.82698775322498,455
REMANUFACTURED PARTS LTD,1,146692.0,146692.0,146692.0,0.014263446593674027,0.146692,97.84125119981866,456
DROCHAID RESEARCH SERVICES LIMITED,1,145416.0,145416.0,145416.0,0.014139376038677653,0.145416,97.85539057585734,457
LECYCLE LTD,1,145300.0,145300.0,145300.0,0.014128096897314348,0.1453,97.86951867275465,458
CORNISH FARM DAIRY LIMITED,1,144468.0,144468.0,144468.0,0.014047198228225803,0.144468,97.88356587098288,459
BOTANICO DESIGN LTD,1,140732.0,140732.0,140732.0,0.01368393208914551,0.140732,97.89724980307203,460
TRUSTMARK (2005) LIMITED,1,140585.0,140585.0,140585.0,0.013669638694486837,0.140585,97.91091944176651,461
TEXFELT LIMITED,1,140545.0,140545.0,140545.0,0.013665749335396042,0.140545,97.92458519110191,462
MANCHESTER METROPOLITAN UNIVERSITY,1,139871.0,139871.0,139871.0,0.01360021363471614,0.139871,97.93818540473663,463
ASTOR-BANNERMAN (MEDICAL) LIMITED,1,139584.0,139584.0,139584.0,0.013572307483239681,0.139584,97.95175771221987,464
E1 DATASCIENCE LTD,1,135616.0,135616.0,135616.0,0.013186483061432776,0.135616,97.9649441952813,465
MAJICO LTD,1,134368.0,134368.0,134368.0,0.01306513505779996,0.134368,97.9780093303391,466
INTELLEGENS LIMITED,1,129036.0,129036.0,129036.0,0.01254668349099693,0.129036,97.9905560138301,467
KEEN LIMITED,1,127553.0,127553.0,127553.0,0.012402485502705693,0.127553,98.0029584993328,468
CIRCULOR LTD,1,127037.0,127037.0,127037.0,0.01235231277043443,0.127037,98.01531081210324,469
COAXIAL POWER SYSTEMS LIMITED,1,126203.0,126203.0,126203.0,0.012271219633391346,0.126203,98.02758203173663,470
ZERO WASTE WORKS LIMITED,3,124983.0,41661.0,50000.0,0.012152594181122087,0.124983,98.03973462591775,471
FULLER THREE LIMITED,2,124967.0,62483.5,62483.5,0.012151038437485768,0.124967,98.05188566435523,472
RIVERSIMPLE MOVEMENT LIMITED,1,124664.0,124664.0,124664.0,0.012121576542372992,0.124664,98.0640072408976,473
PLASTIC ENERGY LIMITED,1,123591.0,123591.0,123591.0,0.012017244484762405,0.123591,98.07602448538236,474
DE GRAFT MANAGEMENT LTD,2,123227.0,61613.5,61613.5,0.011981851317036166,0.123227,98.0880063366994,475
YR ARDD FADARCH ERYRI CYF.,2,121714.0,60857.0,60857.0,0.01183473630942683,0.121714,98.09984107300882,476
UNIVERSITY OF EAST LONDON,1,121555.0,121555.0,121555.0,0.011819276107040918,0.121555,98.11166034911587,477
ENTOPLAST LTD,2,119563.0,59781.5,59781.5,0.011625586024319306,0.119563,98.12328593514019,478
GALSON SCIENCES LIMITED,1,119460.0,119460.0,119460.0,0.01161557092466051,0.11946,98.13490150606485,479
